ts_start,ts_end,latency_ms,stage,gpu,frame,warmup
1761041761.3584929,1761041761.3639958,5.503,cls_brake,True,33,1,True
1761041761.3660038,1761041761.3755114,9.508,traj_predict,True,1,30
1761041761.388524,1761041761.389523,0.999,video_write,False,33,True
1761041761.389523,1761041761.389523,0.0,frame_read,False,34,True
1761041761.3915234,1761041761.392523,1.0,bev_warp,False,34,True
1761041761.397036,1761041761.407545,10.509,detect_yolo,True,34,True
1761041761.4085445,1761041761.4095447,1.0,track_bytetrack,False,34,1,True
1761041761.4095447,1761041761.416577,7.032,cls_turn,True,34,1,True
1761041761.4175785,1761041761.4225764,4.998,cls_brake,True,34,1,True
1761041761.4240797,1761041761.4335904,9.511,traj_predict,True,1,30
1761041761.4425974,1761041761.4435978,1.0,video_write,False,34,True
1761041761.4441001,1761041761.4441001,0.0,frame_read,False,35,True
1761041761.4451032,1761041761.4461057,1.003,bev_warp,False,35,True
1761041761.4501061,1761041761.4616213,11.515,detect_yolo,True,35,True
1761041761.4636216,1761041761.4636216,0.0,track_bytetrack,False,35,2,True
1761041761.4648418,1761041761.477868,13.026,cls_turn,True,35,1,True
1761041761.4788651,1761041761.483369,4.504,cls_brake,True,35,1,True
1761041761.4843745,1761041761.4933736,8.999,traj_predict,True,1,30
1761041761.5026248,1761041766.1070433,4604.419,llava_call,True,9016,1,True
1761041766.1140711,1761041766.1150749,1.004,video_write,False,35,True
1761041766.1160758,1761041766.1160758,0.0,frame_read,False,36,True
1761041766.1170733,1761041766.1180725,0.999,bev_warp,False,36,True
1761041766.1210723,1761041766.1305797,9.507,detect_yolo,True,36,True
1761041766.1315796,1761041766.1315796,0.0,track_bytetrack,False,36,1,True
1761041766.1325815,1761041766.1390858,6.504,cls_turn,True,36,1,True
1761041766.140086,1761041766.144594,4.508,cls_brake,True,36,1,True
1761041766.1455927,1761041766.1569111,11.318,traj_predict,True,1,30
1761041766.1714168,1761041766.172417,1.0,video_write,False,36,True
1761041766.172417,1761041766.172417,0.0,frame_read,False,37,True
1761041766.173919,1761041766.1749218,1.003,bev_warp,False,37,True
1761041766.177924,1761041766.1879332,10.009,detect_yolo,True,37,True
1761041766.1879332,1761041766.1889334,1.0,track_bytetrack,False,37,1,True
1761041766.1889334,1761041766.19444,5.507,cls_turn,True,37,1,True
1761041766.1954389,1761041766.1994412,4.002,cls_brake,True,37,1,True
